pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2019	Shares as Shares	Modern Studies in Property Law		"Katz L (2019) ‘Shares as Shares’ in S. Agnew & B. McFarlane, eds., Modern Studies in Property Law (Bloomsbury 2019)"			
2019	Foreword	The Seminal Work of Leon Duguit		"Katz, L (2019) ‘Foreward’ in Paul Babie & Jessica, Vivien-Wilksch, eds., The Seminal Work of Leon Duguit (Springer 2018)"			
2019	Blowing Hot and Cold	Civil Wrongs and Justice in Private Law		"Katz, L (2019) ‘Blowing Hot and Cold’ in John Oberdiek & Paul Miller, eds., Civil Wrongs and Justice in Private Law (OUP)"			
2019	Equity: Pathways to Legal Rights	Philosophical Foundations of Equity		"Katz, L (2019) ‘Equity: Pathways to Legal Rights’ in Dennis Klimchuk, Irit Samet, & Henry E. Smith, eds., Philosophical Foundations of Equity (OUP)"			
2019	"The Philosophy of Property Law, Three Ways"	Cambridge Companion to Law and Philosophy		"Katz, L (2019) “The Philosophy of Property Law, Three Ways” in John Tasioulis, Cambridge Companion to Law and Philosophy (CUP)"			
2018	Legal Forms and Property	Property Theory: Legal and Political Perspectives		"Katz, L (2018) ‘Legal Forms and Property’ in M. Otsuka & J.E. Penner, eds., Property Theory: Legal and Political Perspectives (CUP)"			
2017	Property’s Sovereignty	Theoretical Inquiries in Law		"Katz, L (2017) ‘Property’s Sovereignty,’ 18 Theoretical Inq. In Law 299"			
2014	The Relativity of Title and Causa Possessionis	Philosophical Foundations of Property Law		"Katz, L (2014) ‘The Relativity of Title and Causa Possessionis’ in J.E. Penner & H.E. Smith, eds., The Philosophical Foundations of Property Law (OUP)"			
2013	Spite and Extortion: A Principle of Abuse of Property Right	Yale Law Journal		"Katz, L (2013) ‘Spite and Extortion: A Principle of Abuse of Property Right,’ 122 Yale Law Journal 1444"			
2013	Causa Possessionis and Relativity of Title	Philosophical Foundations of Property Law		"Katz, L (2013) ‘Causa Possessionis and Relativity of Title,’ in H.E. Smith & J.E. Penner, eds., Philosophical Foundations of Property Law (OUP)"			
2013	The Moral Paradox of Adverse Possession	Property and Sovereignty		"Katz, L (2013) ‘The Moral Paradox of Adverse Possession,’ in James Smith ed., Property and Sovereignty (Ashgate)"			
2012	Governing Through Owners	University of Pennsylvania Law Review		"Katz, L (2012) ‘Governing Through Owners: How and Why Formal Private Property Rights Enhance State Power,’ 160 U. Pennsylvania Law Review 2030"			
2011	The Regulative Function of Property Rights	Journal of Economic Watch		"Katz, L (2011) ‘The Regulative Function of Property Rights,’ J. of Econ Watch 236"			
2011	Ownership and Social Solidarity	Legal Theory		"Katz, L (2011) ‘Ownership and Social Solidarity,’ 17 Legal Theory 119"			
2011	The Concept of Ownership and the Relativity of Title	Jurisprudence		"Katz, L (2011) ‘The Concept of Ownership and the Relativity of Title,’ 2(1) Jurisprudence 191"			
2010	Red Tape and Gridlock: Flight to the Informal Sector	Canadian Journal of Law and Jurisprudence		"Katz, L (2010) ‘Red Tape and Gridlock: Flight to the Informal Sector,’ 23 Canadian Journal of Law and Jurisprudence 99"			
2010	The Moral Paradox of Adverse Possession: Sovereignty and Revolution in Property Law	McGill Law Journal		"Katz, L (2010) ‘The Moral Paradox of Adverse Possession: Sovereignty and Revolution in Property Law,’ 55 McGill Law Journal 47"			
2010	Red Tape and Gridlock	Hernando de Soto in a Modern Market Economy		"Katz, L. (2010) ‘Red Tape and Gridlock’ in D. Ben Barros ed., Hernando de Soto in a Modern Market Economy (Ashgate 2010)"			
2009	A Traditionalist’s Property Jurisprudence	Justice Bertha Wilson: One Woman’s Difference		"Katz, L (2009) ‘A Traditionalist’s Property Jurisprudence’ in Kim Brooks, ed., Justice Bertha Wilson: One Woman’s Difference (UBC Press 2009)"			
2008	Exclusion and Exclusivity in Property Law	University of Toronto Law Journal		"Katz, L (2008) ‘Exclusion and Exclusivity in Property Law,’ 58 University of Toronto Law Journal 275"			
2006	A Powers-based Approach to the Protection of Ideas	Cardozo Arts and Entertainment Law Journal		"Katz, L (2006) ‘A Powers-based Approach to the Protection of Ideas,’ 23 Cardozo Arts and Entertainment Law Journal 687"			
